"annotation_id","annotator","c4_id","cleaning_other","cleaning_quality","comments","content_moderation","created_at","document_type","document_type_other","id","lead_time","metadata","pii_labels","privacy_other","privacy_type","quality_score","readability","readability_other","text","timestamp","topic","topic_other","updated_at","url"
221,"1","","","CLEANING: Clean","","","2026-06-09T14:19:57.767175Z","","DOC_TYPE: RECORDS",705,415.289,"{""url"":""https:\/\/www.mcslions.org\/wp-content\/uploads\/2014\/11\/Track-Records-2015.pdf"",""id"":""<urn:uuid:428e3e98-c3af-40aa-aa8c-8b87f65b49a2>"",""date"":""2021-01-28T05:55:26+00:00"",""language"":""eng_Latn""}","[{""start"":112,""end"":4258,""text"":""| EVENT | NAME (YEAR) | TIME \/ DISTANCE | NAME (YEAR) | TIME\/ DISTANCE |\\n|---|---|---|---|---|\\n| 100 METER | Karolyn Huber – 2004 | :13.19 | Stephen Moore - 2006 | :11.53 |\\n| 200 METER | Karolyn Huber - 2004 | :27.97 | Jose Rivas- 2014 | :23.94 |\\n| 400 METER | Melissa Balliet - 2006 | 1:05.10 | Andy Willits- 2009 | :52.50 |\\n| 800 METER | Stefanie Rowe – 2004 Adrienne Yordy- 2013 | 2:27.18 2:40.82 | J.J. Brooks – 2005 J.J. Brooks – 2004 | 2:05.87 2:09.74 |\\n| 1600 METER | Stefanie Rowe – 2004 Stefanie Rowe – 2004 | 5:29.30 5:33.88 | J.J. Brooks – 2005 J.J. Brooks - 2004 | 4:35.19 4:54.38 |\\n| 3200 METER | Stefanie Rowe – 2004 | 12:46.00 | Kurtis Klodnicki - 2012 | 11:00.88 |\\n| 4X100 RELAY | Madison Burrows, Kennedy Barner, Lizzie Yordy, Paige Friesema - 2012 | :53.76 | A.Troxell, E. Hartle, T. Morton, S. Moore – 2006 Matthew Sweigard, John Bossert, Jose Rivas, Dakota Pickett- 2014 | :47.83 :47.80 |\\n| 4X200 RELAY | Charity Reddinger, Kyria Johnson, Jill Halama, Karolyn Huber - 2004 | 1:54.88 | Andy Willits, Ryan Torrey, Jason Miller, Charlie Errickson - 2009 | 1:38.38 |\\n| 4X400 RELAY | Jenna Epler, Charity Reddinger, Elissa Snook, Stef Rowe - 2004 | 4:40.17 | Nathanael Johnson, Jon Pfleegor, Tyson Herrold, JJ Brooks - 2005 | 3:51.92 |\\n| 4X 800 RELAY | Laura Klodnicki, Paige Friesema, Laura Carpenter, Kendra Rehm—2009 | 11:42.29 | Caleb Clendaniel, Garrett Gessner, David Ulmer, Kurtis Klodnicki- 2013 | 9:22.95 |\\n| 100 \/ 110 Hurdles | Shanae Bomberger- 2014 Shanae Bomberger- 2014 | :18.50 :18.99 | Nathanael Johnson - 2004 Dakota Pickett- 2014 | :16.50 :17.69 |\\n| 300 Hurdles | Shanae Bomberger - 2015 | :52.60 | Dakota Pickett- 2015 | 42.47 |\\n| SHOT PUT | Ayla Kile - 2006 | 32’ 4” | Dan Gallagher- 2014 | 44’2.75” |\\n| DISCUS | Erica Anderson – 2009 | 97’4” | David Duncan - 2015 | 123’8” |\\n| JAVELIN | Madison Burrows- 2013 | 98’3” | Ethan Kuhns – 2008 | 157’6” |\\n| HIGH JUMP | Hannah Runtas – 2014 Hannah Runtas- 2014 | 5’0 5’4” | Tyler Baughman- 2014 | 6’0” |\\n| LONG JUMP | Madison Burrows – 2014 Madison Burrow- 2014 ACSI RECORD | 16’5” 15’10.5” | Tyler Morton – 2008 | 20’0.25” |\\n| TRIPLE JUMP | Madison Burrows – 2012 Madison Burrows – 2012 | 33’7.75” 33’10-.025 | Jason Miller -2009 | 38’10.5” |\\n\\nJUNIOR HIGH TRACK AND FIELD RECORDS (Program began in 2000)\\n\\n| EVENT | NAME (YEAR) | TIME \/ DISTANCE | NAME (YEAR) | TIME\/ DISTANCE |\\n|---|---|---|---|---|\\n| 100 METER | Madison Burrows – 2010 | :13.47 | Stephen Moore - 2005 TJ Carney – 2001 | :11.83 :11.90 |\\n| 200 METER | Melissa Balliet – 2005 | 28.09 | Stephen Moore – 2005 Jose Rivas- 2014 | :24.69 :24.70 |\\n| 400 METER | Katie Benfer – 2013 | 1:05.88 | TJ Carney – 2001 | :58.00 |\\n| 800 METER | Katie Benfer- 2013 | 2:36.85 | TJ Carney – 2000 | 2:25.90 |\\n| 1600 METER | Katie Benfer - 2013 Katie Benfer- 2013 | 5:56.06 5:56.26 | David Ulmer - 2013 | 5:14.50 |\\n| 4X100 RELAY | Rory Tamblin, Olivia Raymond, Delaney Wagner, Jenna Brouse - 2012 | :56.18 | Nate Hoover, Jason Miller, Ryan Torrey, Charlie Errickson – 2007 Matthew Sweigard, Marcus Betzer, Trey Baughman, Jose Rivas- 2013 | :51.30 |\\n| 4X200 RELAY | Chelsea Shaffer, Hannah Clendaniel, Melissa Balliet, Chrissie Gabel- 2005 Ashleigh Bomberger, Perri Hart, Kyria Johnson, Anna Hart - 2001 | 2:00.02 2:00.15 | Luke Johnson, Dan Shaffer, Andrew Troxell, Stephen Moore – 2005 | 1:48.06 |\\n| 4X400 RELAY | Jenna Brouse, Shanae Bomberger, Katie Benfer, Delaney Wagner- 2013 | 4:52.82 | David Ulmer, Austin Moscariello, Jacob Crawford, Kyle Shoop-2013 | 4:23.60 |\\n| 100 Hurdles | Mackenzie Baughman- 2015 | :18.54 | Trey Baughman- 2013 | :17.90 |\\n| 110 Hurdles | | | Trey Baughman- 2014 Trey Baughman- 2014 | :17.10 :17.79 |\\n| Shot Put – 8lb Shot Put – 6lb | Erica Anderson -2006 Bryndee Nolder – 2005 | 25’5” 31’0.25” | Brandon Stokes- 2013 | 39’2.50” |\\n| DISCUS | Bryndee Nolder - 2005 | 77’6” | Brandon Stokes- 2013 | 125’4” |\\n| HIGH JUMP | Sarah Boehnlein--2008 | 4’8” | Jacob Pizzuto- 2010 Marcus Betzer- 2013 | 5’2” |\\n| LONG JUMP | Madison Burrows – 2010 | 15’2” | Edgar Hartle – 2003 | 17’9” |\\n| TRIPLE JUMP | Melissa Balliet – 2005 Madison Burrows- 2010 | 30’0” | Mitchell Kile-2011 | 35'7” |"",""labels"":[""Person Name""]}]","","{""choices"":[""PRIVACY: Person Name"",""PRIVACY: Medical Information""]}","[{""rating"":10}]","READABILITY: Easy","","ACAA  LEAGUE RECORD

MEADOWBROOK CHRISTIAN SCHOOL

SENIOR HIGH TRACK AND FIELD RECORDS (Program began in 2000)

| EVENT | NAME (YEAR) | TIME / DISTANCE | NAME (YEAR) | TIME/ DISTANCE |
|---|---|---|---|---|
| 100 METER | Karolyn Huber – 2004 | :13.19 | Stephen Moore - 2006 | :11.53 |
| 200 METER | Karolyn Huber - 2004 | :27.97 | Jose Rivas- 2014 | :23.94 |
