"annotation_id","annotator","c4_id","cleaning_other","cleaning_quality","comments","content_moderation","created_at","document_type","document_type_other","id","lead_time","media","metadata","pii_labels","privacy_type","quality_score","readability","readability_other","text","timestamp","topic","topic_other","types","updated_at","url"
13,"1","","","CLEANING: Clean","Short post about a show there is nothing else going on here","","2026-06-07T17:54:21.662571Z","DOC_TYPE: Blog","",481,118.06299999999999,"","{""url"":""https:\/\/karaokegal.livejournal.com\/1773485.html"",""timestamp"":""2019-04-18 14:16:05"",""c4_id"":null}","","PRIVACY: None","[{""rating"":10}]","READABILITY: Easy","","I thought I was going to finish the 3rd season of the Wire tonight.
But there was a commentary on episode 11, so I had to re-watch Middle Ground with the commentary. Hopefully I can finish the season next weekend.","2019-04-18 14:16:05","TOPIC: Entertainment","","","2026-06-09T19:03:51.227203Z","https://karaokegal.livejournal.com/1773485.html"
16,"1","","","CLEANING: Clean","A post on forum for advice on web domain","","2026-06-07T17:56:26.329588Z","DOC_TYPE: Forum Post","",484,68.96,"","{""url"":""https:\/\/community.homestead.com\/homestead\/topics\/i-purchased-new-domain-and-i-cant-figure-out-how-to-start-the-new-web-site-please-advise?topic-reply-list%5Bsettings%5D%5Bfilter_by%5D=all&topic-reply-list%5Bsettings%5D%5Breply_id%5D=19072591"",""timestamp"":""2019-04-25 23:02:23"",""c4_id"":null}","","PRIVACY: None","[{""rating"":10}]","READABILITY: Easy","","I have existing web site brittlloyd.org. I opened a new domain sayrebuildersrockport.com however I don't have a way to start building this new web site online like I do the other one. Please list the steps to take.
I see you deleted the domain. Did you no longer want to use it? You can see how to create a new site here, https://community.homestead.com/homestead/topics/how-do-i-create-a-new-site.","2019-04-25 23:02:23","TOPIC: Technology","","","2026-06-07T17:56:26.329623Z","https://community.homestead.com/homestead/topics/i-purchased-new-domain-and-i-cant-figure-out-how-to-start-the-new-web-site-please-advise?topic-reply-list%5Bsettings%5D%5Bfilter_by%5D=all&topic-reply-list%5Bsettings%5D%5Breply_id%5D=19072591"
17,"1","","","CLEANING: Clean","Page has changed content thus quality is lower","","2026-06-07T17:57:53.486495Z","DOC_TYPE: Product Page","",485,104.177,"","{""url"":""http:\/\/hotel-east-bourne-resort-and-spa-shimla.hotelsgds.com\/hotel-amenities\/"",""timestamp"":""2019-04-24 11:03:03"",""c4_id"":null}","","PRIVACY: None","[{""rating"":4}]","READABILITY: Easy","","Embrace world class facilities at East Bourne Resort & Spa Shimla. Facilities at East Bourne Resort & Spa Shimla comprise multi cuisine restaurant, tours and travel desk. Avail facilities of East Bourne Resort & Spa Shimla.","2019-04-24 11:03:03","TOPIC: Travel","","","2026-06-09T19:04:34.215242Z","http://hotel-east-bourne-resort-and-spa-shimla.hotelsgds.com/hotel-amenities/"
18,"1","","","CLEANING: Missing Content","Misses the last two paragraphs of the website","","2026-06-07T18:00:17.811534Z","DOC_TYPE: Article","",486,166.53,"","{""url"":""https:\/\/www.archiscene.net\/tower\/four-frankfurt-unstudio\/"",""timestamp"":""2019-04-18 12:20:23"",""c4_id"":null}","","PRIVACY: None","[{""rating"":7}]","READABILITY: Easy","","UNStudio has joined forces with HPP Architects to create a consortium (UNS + HPP) to carry out the next phases of their winning project at the architectural design competition for FOUR Frankfurt. Take a look at the complete story after the jump.
From the architects: The centrally located 16,000 square meter site was purchased by Groß & Partner real estate development company – who will be carrying out the development of the project – back in 2015. Situated in the very core of the city, the site has been completely inaccessible for the last 45 years. Now four new high-rise towers will change Frankfurt’s skyline from the air, while cultivating its liveliness on the ground. The development of these towers, reaching heights of 228 meters, will open up new streets to create a multi-use, vibrant inner-city quarter, bringing together a healthy mix of work, living, relaxation and recreation.
The choice of programmes allows for a smooth transition from Frankfurt’s shopping district to the east of Roßmarkt, to the high-rise office towers clustered around Park Taunusanlage. With a development concept that is unique to Europe, the FOUR Frankfurt project brings together facilities that will establish a lively new neighbourhood for Frankfurt, its visitors, and its (future) residents.
The new high-rise complex will be integrated into the expanding city structure by incorporating the heritage-listed facades of the Junghofstraße into the design and by making a multi-storey base building the connecting element of the entire site.
According to the assessment by the competition jury, the unique quality of the quarter can be found in its public development and amenity value. The new development will therefore create connected spaces, accessible rooftops, pathways and passages. The existing block on the Junghofstraße will be opened up to strengthen the surrounding pathways and ensure a high level of accessibility. This will create a multi-use, diverse quarter comprising 50% office spaces, 30% living accommodation (including subsidized housing), in addition to retail spaces, restaurants and hotels.
Four Frankfurt is expected to be completed in 2023.","2019-04-18 12:20:23","TOPIC: News","","","2026-06-09T19:04:58.125680Z","https://www.archiscene.net/tower/four-frankfurt-unstudio/"
20,"1","","","CLEANING: Missing Content","Scraped text misses out on some points and paragraphs and ideally should have been able to read other tabs on the website that also consist of some information about the course","","2026-06-07T18:02:27.229896Z","DOC_TYPE: Product Page","",488,117.062,"","{""url"":""https:\/\/www.xchangetraining.co.uk\/course\/adobe-flash-cc-introduction-manchester"",""timestamp"":""2019-04-21 18:13:54"",""c4_id"":null}","","PRIVACY: None","[{""rating"":5}]","READABILITY: Easy","","Learn the fundamentals of Flash as we guide you through this comprehensive introduction to the leading interactive-design program. We will show you how to draw and animate your own graphics. This is the perfect starting point for anyone interested in creating enhanced web output.
After we give you a complete tour of the Flash environment, we will take you from a blank canvas to being able to produce your own graphics and animations. You will see how it easy it is to import your own audio and video, add simple interactivity, and then publish your projects in a variety of formats.
This 2-day Introduction course helps you learn about the tools and features available in Adobe Flash CC. We will help you understand how this industry-leading program takes interactive design to a new level. We will guide you in learning the work area and the best practices for creating Flash content. Plus, you will get the hands-on experience you need to create your own projects.
Our goal is for you to be able to create simple visual projects that are ready to use for the web.
This course is intended for designers and developers who are new to Flash and who want to learn the interface and commonly used features.
If you are considering this Flash CC Design Introduction 2 Days Course but would like further information simply send us your query quickly & easily with the form below. Whether you would like to check date availability, pricing, course suitability or just need further information about a course send us your query and we will get you a swift reply, usually within 2 business hours!
Your course covered everything I needed to know and also gave really useful tips and advice making me feel more confident about using the program.","2019-04-21 18:13:54","TOPIC: Education","","","2026-06-07T18:02:27.229926Z","https://www.xchangetraining.co.uk/course/adobe-flash-cc-introduction-manchester"
21,"1","","","CLEANING: Missing Content","Blog misses some part of the first comment and does output the names of two persons.","","2026-06-07T18:10:01.740204Z","DOC_TYPE: Blog","",489,453.878,"","{""url"":""http:\/\/girls-english.blogspot.com\/2011\/09\/how-to-make-your-own-games.html"",""timestamp"":""2019-04-21 16:27:24"",""c4_id"":null}","","PRIVACY: Person Name","[{""rating"":8}]","READABILITY: Easy","","What do you do in your free time? Of course some of you ,watch TV or play video games . If it is too boring, would you like to do something more interesting? All of you have wild imagination ,so you can make your own games!
Lisa Green ,who's 35 years old ,has been making her own games since she was 5 .I asked her How she started that hobby.She told me that she didn't like the games which other children play, so she started to make her own games. Then ,I asked her If it was difficult to make her own games. She told me that it wasn't difficult and,If you had imagination ,you would be a very good player too.
Lisa yesterday invented a new game which is called table tennis with hand .You paint a court of table tennis , then you take the ball and throw it to the other. If you want to use a net make one! Isn't it a fantastic game ?
With a bit practise, you'll be make your own games in no time !!
Say hi to the future blogger of the school, Marinos!
2013! Marinos is a ""present"" blogger now!! It is very thrilling, isn't it!!
That sounds very interesting, Raffaela!! I think that you have really wild imagination!!!!
Two missions before winter courses start!","2019-04-21 16:27:24","TOPIC: Other","","PNAME, PNAME, PNAME","2026-06-07T18:10:01.740229Z","http://girls-english.blogspot.com/2011/09/how-to-make-your-own-games.html"
22,"1","","","CLEANING: Missing Content","Scraping misses some key paragraphs in between and also reveals the name of the Pandit who does this magic","MODERATION: Harmful","2026-06-07T18:13:05.745550Z","DOC_TYPE: Other","",490,202.05700000000002,"","{""url"":""http:\/\/famousvashikaranspecialists.blogspot.com\/2015\/05\/vashikaran-specialist-in-chandigarh.html"",""timestamp"":""2019-04-26 01:54:02"",""c4_id"":null}","","PRIVACY: Person Name","[{""rating"":6}]","READABILITY: Medium","","Vashikaran Specialist Chandigarh is a black magic study of attraction, by which you can attract your partner, Girlfriend,Wife, Husband Anything that is living! From ages it’s going in India and everywhere in the world! It’s A Science for Welfare of Mankind. I need to recover its roots, it’s As Simple as Singing a Song and your Mate will love you for this! Kindly Don’t Use These Powers in Wrong Way on the other aspect if you done as such then these powers may hurt you!
The usage of Online Vashikaran Specialist Chandigarh to win the individual love you need or treasured. It is advised that Online Vashikaran Specialist Pandit Chandigarhnot to be mishandle for imperfect or hurting other. We All understand that Love is God and shaitaan is for heartedness. operate some individual to do as you wish is want yet to make his/her identity to do likewise is not that much horrible. Use vashikaran mantra in Hindi not to lose. Regularly pick humanity and deal with your problems with the help of them.
Online Vashikaran Specialist Pandit ji Chandigarh similarly oversee disturbed impact of the enemy identity so they may stay a long way from their country, nation, home, work and even from your relatives. Vashikaran Mantra in Hindi is used for well-defined purposes, some use it for in receipt of well off, some use it as love spells to recover their love one. The key thing to be recall is this real strategy and fitting duty are important for vashikaran mantra in Hindi to get fulfilment. One can start included vashikaran mantra in Hindi yet after bundles of put into practice and meeting to get most great benefits.
In present time vashikaran mantra in Hindi is uncommonly overseeing way to deal with light up every one of the worry people refuse in their regular life. Accepting that you are looking the strong strategy to get comes about that serve to totally handle your friendship problems between problems like How to get love back, how to recover your ex, how to get sweetheart yet again with the use of Love Spells then vashikaran mantra in Hindi will be the result of all request that make your presence hellfire.
There are two types of Vashikaran to be specific Pandit Vashikaran you have the full information to get the better results. You can get the information about this study on the web. Various individuals offering these services give data through their sites. On the other aspect that you need to realize this strategy, you must think the experienced person who is knowledgeable with the harmless methods. It can be useful in resolving many problems in your expert and individual life. It is operate to contact individuals who have attempted these strategies.
Pandit Aman Sharma Love Vashikaran Specialist Chandigarh coordinating is likewise one of the services offered by All Love Vashikaran Specialist Pandit Chandigarh of two people (male and a female) are coordinated for shared compatibility. It incorporates analysis of different factor, for example, Ashta koot and Manglik Dosh and tells what sort of association is suitable.","2019-04-26 01:54:02","","TOPIC: Black Magic","PERSON_NAME","2026-06-09T19:05:47.082227Z","http://famousvashikaranspecialists.blogspot.com/2015/05/vashikaran-specialist-in-chandigarh.html"
23,"1","","","CLEANING: Missing Content","Decent scraping but misses the reply of the person referenced","","2026-06-07T18:16:33.429689Z","DOC_TYPE: Forum Post","",491,207.106,"","{""url"":""https:\/\/www.s2member.com\/forums\/topic\/need-a-solution-to-100-discount\/index.html"",""timestamp"":""2019-04-25 07:45:05"",""c4_id"":null}","","PRIVACY: Person Name","[{""rating"":7}]","READABILITY: Easy","","This topic contains 1 reply, has 2 voices. Last updated by Raam Dev 4 years, 11 months ago.
I need a solution for a site I’m developing with S2 Members Pro, the issue is the clients run a chain of shops across the UK and a magazine that is subscribed from all over the world. The client wants its clients to be able to not only sign up online but also in store, the problem is my client will not accept the 0.01p charge on the checkout with a 100% discount code, this is because they feel there customers will not like having to pay online.
I know you suggest 2 options on the plugin: 1 being a free registration form but this is open to abuse if the link gets leaked and will also require a lot of moderation on the admin side of things to make sure each sign up actually did join in store. 2 being a free trial, we can set the trial up to last a year but then the checkout will still require a form of payment to start running once the trial period has ended.
Is there any solution to this problem? we need it to be as secure as it can without being open to abuse and easy to administrate.
What is the best solution for this?
Let us know if that answers your question.","2019-04-25 07:45:05","TOPIC: Technology","","","2026-06-07T18:16:33.429724Z","https://www.s2member.com/forums/topic/need-a-solution-to-100-discount/index.html"
25,"1","","","","Reveals a lot of information about the author and where she went to university and other details","","2026-06-07T18:20:01.311305Z","DOC_TYPE: Other","",493,814.588,"","{""url"":""https:\/\/borderlineregionalarts.com.au\/exhibitions\/tenterfield-show-2015\/"",""timestamp"":""2019-04-25 10:25:15"",""c4_id"":null}","","{""choices"":[""PRIVACY: Address"",""PRIVACY: Person Name""]}","[{""rating"":6}]","READABILITY: Easy","","The Champion work “Uncle Ian III (Into the Unknown’, with artist Louise Jenkins, and her cousin David whose father sat for the portrait.
Tenterfield Show 2015 was judged by Tanya Robertson-Cuninghame.
I graduated from the National Art School in 1981, and have been a practicing artist since then, updating my qualifications regularly and teaching Visual Arts for 27 years in various establishments. These include: TAFE, New England Girls School, regional High Schools, and G.I Correctional Centre. I also have a Graduate Diploma in Education from UNE.
My partner and I had an exhibition of our combined work of paintings & leadlights at Maitland Regional Art Gallery in October 2013.
The following show results are those of Borderline members only. Congratulations!!!","2019-04-25 10:25:15","","Topic: Art","NAME, ADDRESS, PLACES, TIME","2026-06-09T19:16:32.029699Z","https://borderlineregionalarts.com.au/exhibitions/tenterfield-show-2015/"
26,"1","","","CLEANING: Missing Content","Not easy to read the scraped text and misses almost everything from the website of what seems to be some scoring but can't understand much","","2026-06-07T18:21:18.754725Z","DOC_TYPE: Other","",494,76.99,"","{""url"":""https:\/\/wideworldofsimulatedsports.wordpress.com\/2012\/08\/31\/nfl-1979-afc-divisionals-pittsburgh-20-7-over-new-england\/"",""timestamp"":""2019-04-21 10:38:11"",""c4_id"":null}","","PRIVACY: None","[{""rating"":2}]","READABILITY: Technical","","2 New England     NE  16  1 plays  -1 yards  0:07   End of half.
4 Pittsburgh      Pit 37  2 plays  -1 yards  1:01   End of game.
2  8 opp29  1:57 Pit Bleier 0             Bas Draw/SI              4-3 sZ Run-Harris, F.","2019-04-21 10:38:11","TOPIC: Sports","","","2026-06-07T18:21:18.754745Z","https://wideworldofsimulatedsports.wordpress.com/2012/08/31/nfl-1979-afc-divisionals-pittsburgh-20-7-over-new-england/"
